"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"B4GALNT4",2.22764360265747e-18,-2.00508011682384,0.168,0.715,4.23274560940946e-14
"USP40",2.71450630375835e-18,-0.855482469753913,0.546,0.914,5.15783342777124e-14
"TFDP2",2.74362391110585e-18,-1.02644178408668,0.555,0.925,5.21315979349223e-14
"SFT2D3",2.83749222717637e-18,-0.636684429715267,0.697,0.973,5.39151898085782e-14
"HEY2",2.95525789561027e-18,1.34323529429609,0.807,0.376,5.61528552744907e-14
"CYGB",3.65035034480331e-18,-1.24016038232886,0.378,0.823,6.93603069016076e-14
"EZR",4.24552515477904e-18,1.05210143154451,0.941,0.608,8.06692234659566e-14
"BAP1",4.66154533832853e-18,-1.18525850400853,0.37,0.823,8.85740229735804e-14
"AL662796.1",5.27894002517968e-18,-1.35847497414379,0.311,0.796,1.00305139418439e-13
"SEZ6L2",5.33312221486121e-18,-1.96212125359454,0.185,0.715,1.01334655204578e-13
"INHBA",5.34420250596471e-18,1.60791524431724,0.824,0.333,1.01545191815836e-13
"RAC2",5.52716555342587e-18,-1.66190223320892,0.244,0.742,1.05021672680645e-13
"ZMAT1",6.55197860625274e-18,-1.87476383229297,0.193,0.726,1.24494145497408e-13
"FHIT",7.19183564541475e-18,-1.16835433733782,0.378,0.833,1.36652069098526e-13
"MTUS1",7.59502412825887e-18,-1.41808164096117,0.319,0.817,1.44313053461047e-13
"ZNF71",8.08072671880689e-18,-1.05498050215805,0.437,0.898,1.5354188838405e-13
"ZNF426",1.11022204681471e-17,-0.555482730289292,0.739,0.978,2.10953291115264e-13
"TNFAIP3",1.11567724535777e-17,1.80435038288639,0.739,0.296,2.11989833390429e-13
"BBX",1.16012386990762e-17,-0.679404733668874,0.84,0.989,2.20435136521147e-13
"ASGR1",1.25292368417144e-17,-1.42257423193942,0.303,0.758,2.38068029229415e-13
"UTRN",1.31269545502177e-17,1.25764632000104,0.857,0.478,2.49425263408687e-13
"ZNF583",1.44759019813117e-17,-0.574220980056128,0.739,0.978,2.75056613546903e-13
"CAMK2N1",1.47485734708401e-17,-2.04954681237968,0.168,0.677,2.80237644519434e-13
"TSHZ2",1.4910140550156e-17,-1.82847569262819,0.193,0.726,2.83307580593513e-13
"NLGN1",1.59661389952605e-17,-2.33801059054788,0.118,0.645,3.03372607048945e-13
"COL9A1",1.66468478146141e-17,-1.72428024927635,0.252,0.753,3.16306755325483e-13
"AL355338.1",1.66827868708308e-17,-0.899971461534039,0.521,0.914,3.16989633332656e-13
"AL033530.1",1.69205961383777e-17,-0.943293208183692,0.479,0.86,3.21508247225314e-13
"AL031283.2",1.69444774757705e-17,2.32773242373644,0.58,0.118,3.21962016517115e-13
"VPS50",1.79025102234773e-17,-0.517820727858393,0.773,0.978,3.40165596756292e-13
"LIPE",1.87545223085906e-17,-1.90756480054961,0.193,0.699,3.56354678385529e-13
