"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MRE11",0.0402153666755361,-0.246007942536534,0.617,0.67,1
"BRCC3",0.0402445681623662,0.140473824280031,0.979,0.927,1
"NBEAL1",0.0402635069263504,-0.109714523867337,1,1,1
"SF3B4",0.0402635069263504,-0.103136450785743,1,1,1
"OSBPL7",0.040269720853806,-0.728508382169287,0.213,0.358,1
"RNF19B",0.0403477768325671,-0.509236600214607,0.383,0.55,1
"ZNF189",0.0406322357942877,-0.112578528867477,0.936,0.963,1
"SEPSECS",0.0406734047944109,-0.50261156090012,0.426,0.624,1
"CENPP",0.0406796031400879,-0.238864338675539,0.574,0.615,1
"RECK",0.0407061314554897,-0.350109448452681,0.617,0.789,1
"MYOD1",0.0407071318250715,-1.71831730302869,0.021,0.128,1
"GRK5",0.0409161810187073,0.361626530776476,0.723,0.587,1
"DOLK",0.0409919959028462,-0.327477650173845,0.681,0.853,1
"TBX19",0.0409981040370702,-0.355656341272657,0.532,0.679,1
"IFIT2",0.0410086330025198,0.966798701627108,0.34,0.183,1
"FBXO38",0.0410361521176539,-0.173222839859201,0.787,0.872,1
"AMIGO1",0.0412005457697805,-1.06185993318654,0.128,0.266,1
"CEACAM19",0.0412005457697805,-0.98051980488384,0.128,0.266,1
"EIF4EBP1",0.0412597765987971,-0.35957088813893,0.617,0.752,1
"PTGIS",0.0412947859383051,0.637257155796637,0.532,0.349,1
"CEP85L",0.0413322753654616,0.238386326358418,0.957,0.89,1
"MTFR2",0.041336377372526,-0.973489779748669,0.128,0.257,1
"EPAS1",0.0413959912055414,0.472218467492948,0.745,0.55,1
"AZU1",0.0414551122510484,-1.66092561537413,0.021,0.128,1
"LZTS1",0.0416437247154866,-0.802799752252176,0.191,0.339,1
"AL139246.5",0.0417232111433574,1.79855797382044,0.106,0.028,1
"GBP4",0.0417232111433574,1.79855797382044,0.106,0.028,1
"RNF180",0.0417232111433574,1.79855797382044,0.106,0.028,1
"SLCO2B1",0.0417232111433574,1.79855797382044,0.106,0.028,1
"OR8A1",0.0417232111433574,1.79855797382044,0.106,0.028,1
"AC008115.4",0.0417232111433574,1.79855797382044,0.106,0.028,1
"TNFSF11",0.0417232111433574,1.79855797382044,0.106,0.028,1
"HP",0.0417232111433574,1.79855797382044,0.106,0.028,1
"PTGER1",0.0417232111433574,1.79855797382044,0.106,0.028,1
